user_id,item_id,interaction
100005598,twitter15_688751183645782016,1
100005598,twitter15_504244627680272384,1
100005598,twitter15_499368931367608320,1
100005598,twitter16_692826642583019521,1
100005598,twitter16_692516224245235712,1
100005598,twitter16_656662726014599168,1
100005598,twitter15_688502260779843587,1
100005598,twitter16_674263945172119552,1
100005598,twitter15_691027026552229888,1
100005598,twitter16_663744139666804736,1
100136358,twitter16_687409983139495939,1
100136358,twitter15_524934138563133440,1
100136358,twitter16_692826642583019521,1
100136358,twitter15_538851683141304320,1
100136358,twitter15_500286058664579072,1
100136358,twitter15_500295393301647360,1
100136358,twitter15_544523550519218176,1
100136358,twitter15_707321278135463936,1
100136358,twitter16_707321278135463936,1
100136358,twitter15_501760566160289794,1
100332944,twitter15_514106939173634048,1
100332944,twitter16_544352727971954690,1
100332944,twitter15_517487705978966016,1
100332944,twitter16_767698691205410816,1
100332944,twitter16_544350712365207552,1
100332944,twitter16_553590459688570880,1
100332944,twitter16_544271284796784640,1
100332944,twitter15_525041127343550464,1
100332944,twitter15_728631482722308096,1
100332944,twitter16_728631482722308096,1
100332944,twitter15_510906049549705216,1
100332944,twitter15_742055437932040193,1
100332944,twitter16_742055437932040193,1
100332944,twitter15_686493272806576128,1
100531988,twitter15_693443289370882049,1
100531988,twitter15_688520025754304512,1
100531988,twitter15_692510002586714113,1
100531988,twitter16_692516224245235712,1
100531988,twitter16_693167683701968896,1
100531988,twitter15_692004901455556608,1
100531988,twitter15_693121477491757056,1
100531988,twitter15_765631087867367426,1
100531988,twitter16_692393375891361794,1
100531988,twitter15_762775964224847872,1
100531988,twitter16_693827886021767169,1
100531988,twitter15_690954487322796032,1
100531988,twitter15_689236842454106113,1
100531988,twitter15_690926324903317504,1
100531988,twitter15_688502260779843587,1
100531988,twitter15_691299810553384960,1
100531988,twitter16_688755462783782912,1
100531988,twitter16_689915847939219456,1
100531988,twitter15_688751183645782016,1
100531988,twitter15_764158239089029120,1
100531988,twitter15_688752484966363136,1
100531988,twitter16_689641419825242112,1
100531988,twitter16_693843042546106369,1
100531988,twitter15_693594331735683072,1
100531988,twitter15_690296550803636224,1
100531988,twitter16_689860942671130624,1
100531988,twitter16_692498490249891842,1
100531988,twitter15_691006265137299456,1
100531988,twitter15_691410231549530112,1
100531988,twitter15_693457310824468480,1
100531988,twitter15_764473554431725568,1
100531988,twitter16_693141729529184256,1
100531988,twitter16_689938201193115648,1
100531988,twitter16_690376107825192960,1
100531988,twitter15_693122701569974273,1
100531988,twitter15_766299560415223808,1
100531988,twitter15_688096910217879554,1
1005675566,twitter15_764573523713011713,1
1005675566,twitter16_761573188543229952,1
1005675566,twitter15_693643778033344512,1
1005675566,twitter15_690567125128351744,1
1005675566,twitter15_693126696132804608,1
1005675566,twitter15_693123067204243456,1
1005675566,twitter15_693102420688121856,1
1005764143,twitter16_701872343736520704,1
1005764143,twitter16_674263945172119552,1
1005764143,twitter15_706665777332621314,1
1005764143,twitter16_706665777332621314,1
1005764143,twitter15_697992796565741569,1
1005764143,twitter16_697992796565741569,1
1005764143,twitter15_693934062445187072,1
1005764143,twitter15_716451800581279744,1
1005764143,twitter16_716451800581279744,1
1005764143,twitter16_654343805081157633,1
1005764143,twitter16_714998347111669760,1
10070162,twitter15_524928878075457536,1
10070162,twitter16_553535829017370625,1
10070162,twitter16_544511199702822913,1
10070162,twitter16_553544694765215745,1
10070162,twitter16_524944399890124801,1
10070162,twitter15_580325090367315968,1
10070162,twitter15_525088864416043008,1
10070162,twitter15_524941504796962816,1
10070162,twitter16_544512676643500033,1
10070162,twitter15_524928119955013632,1
10070162,twitter15_524925730053181440,1
10070162,twitter16_553543369604210689,1
10070162,twitter16_614595181845839873,1
10070162,twitter15_427666815842414592,1
101156604,twitter15_499368931367608320,1
101156604,twitter15_500327120770301952,1
101156604,twitter15_500307001629745152,1
101156604,twitter15_500295393301647360,1
101156604,twitter15_500298752469770240,1
