source_tree_id;is_new_post;parent_user_id;parent_tweet_id;parent_delay_min;child_user_id;child_tweet_id;child_delay_min;parent_label;source_datetime;child_datetime;text;tree_start_time;tree_label;split
553587303172833280;False;428333;553587303172833280;0.0;454236505;553587303172833280;0.1;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;354351479;553587303172833280;0.13;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;398364993;553587303172833280;0.13;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;21570332;553587303172833280;0.15;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;172639520;553587303172833280;0.17;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;35482645;553587303172833280;0.17;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;22239035;553587303172833280;0.17;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;2459958124;553587303172833280;0.23;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;1782961;553587303172833280;0.28;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
553587303172833280;False;428333;553587303172833280;0.0;244200716;553587303172833280;0.28;TR;2015-01-09 16:21:12.888;2015-01-09 16:21:12.888;police taking people out of #paris grocery where hostages were being held. url;2015-01-09 16:21:12.888000+00:00;TR;train
