item_id,item_idx
80080680482123777,0
80084555733803009,1
91728807081426944,2
265953285247209472,3
273182568298450945,4
273278761909239808,5
295152287901417472,6
295944137948151809,7
318263294098030593,8
319166636902998016,9
326137285450018817,10
334722003057647616,11
336873759271157760,12
336913656921083904,13
348203818741272576,14
348204426659508226,15
348209998565879810,16
351767344097398785,17
352075672543428608,18
356268980211687424,19
356297080169447425,20
356310469390245888,21
356407105953071107,22
356437941641416705,23
357299879070023680,24
357300409292959744,25
358591089462099968,26
364383457545162754,27
364589696573124609,28
365052155385749505,29
365056836476481537,30
365276206381268995,31
365497016098369536,32
366025766183514112,33
366205297557110784,34
369506008172740608,35
370855596050108416,36
372489152903643136,37
372901260183494656,38
372914976102834176,39
376874273601630208,40
376982539132366848,41
377002232257855488,42
377519445578895360,43
380055172896272384,44
380140114552188928,45
386682163862986752,46
386998038004113409,47
387006553124896768,48
387006700609228801,49
387007120689737729,50
387009577763360768,51
387010299536355328,52
387021726007042051,53
387030572779847680,54
387031585834278912,55
387041762331471872,56
387050178932654080,57
387220814531395584,58
387233034350514176,59
387236601450864641,60
387237225286479872,61
387281927427727360,62
387309869080281088,63
387353560356118528,64
407156621450571777,65
407158558158254081,66
407159686786732032,67
407161635439013888,68
407162181059612672,69
407163499723624449,70
407163869673443328,71
407164247768977409,72
407164597511393280,73
407167258452971520,74
407167928313081856,75
407169212428206080,76
407169699559247872,77
407169885345943552,78
407170170533064705,79
407170443443859456,80
407173794583695360,81
407174474207731712,82
407176055657484289,83
407176873605865472,84
407177474788057088,85
407179055763836928,86
407181813174788096,87
407182194206322689,88
407182466613792768,89
407184707118309376,90
407184730988097536,91
407185422523977728,92
407187197427593217,93
407188779255222273,94
407189015582887936,95
407191058108256257,96
407191144880439298,97
407192027714322432,98
407192126032986112,99
407192370040803329,100
407193347279699968,101
407197113286545409,102
407197672702214144,103
407198255793987584,104
407198615137181696,105
407205009676587009,106
407205235682050048,107
407205404075376640,108
407206094747209728,109
407209131351629824,110
407209222850756608,111
407209892013821952,112
407211258304552960,113
407212665350942720,114
407213757048160256,115
407213772328022016,116
407217471473451008,117
407217865973329920,118
407218583135997953,119
407223928084766721,120
407229989902225408,121
407231591191035904,122
407231740764508161,123
407232661107642368,124
407233172380733441,125
407234399093022720,126
407236151167025152,127
407237676350185475,128
407244865018155008,129
407248574099894272,130
407253198395555840,131
407253554039386112,132
407254590363426816,133
407258075502899200,134
407262869152358400,135
407262953533353984,136
407264593027670016,137
407267881131732992,138
407269894938718208,139
407275991610818560,140
407279190913069056,141
407290084593913856,142
407290871856369664,143
407292452060815360,144
427652211414274048,145
427662266993889280,146
427666815842414592,147
427689948398231552,148
427690961280696320,149
427725166127226881,150
427762638274437120,151
427780584979836929,152
427831952826449920,153
427846006600777729,154
427924694663454720,155
427944719612915712,156
428366153149194240,157
435998882250899456,158
436001434212249600,159
436074888638763008,160
436089462326849536,161
436157173161144321,162
436157398269849602,163
436160836524965891,164
436195672677953536,165
436215971272212480,166
445495350171013120,167
450341615979069440,168
455525437351800832,169
470025166760980483,170
482880640560271361,171
489794369487380480,172
489794593580650497,173
489794696013967360,174
489796088338341888,175
489796998615547904,176
489798219283857408,177
489798752358916096,178
489798752438583297,179
489800427152879616,180
489802446001434625,181
489812926828924928,182
489816746405007360,183
489818014364086273,184
489820657291911168,185
489829414704648192,186
489833932813516800,187
489836271049928704,188
489836441120145408,189
489841070818488320,190
489854703321509888,191
489865454312099840,192
489867900296368129,193
489872119158046720,194
489872500462190593,195
489874311143260160,196
489887806018183168,197
489902412900343809,198
489968646014246912,199
489970164469751808,200
489974591985840128,201
489975398151618560,202
490080544949276672,203
490136764619948032,204
490141776984825856,205
491200302365040640,206
491241885399539712,207
491591245152935936,208
495305620342714369,209
495365942726381568,210
495366618818830336,211
495583434954514432,212
496698590153416704,213
497073936077959169,214
498280126254428160,215
498430783699554305,216
499366666300846081,217
499368931367608320,218
499456140044824576,219
499530130487017472,220
499612545909415938,221
499679379820412928,222
499683602452717569,223
500258409988763649,224
500270780832174080,225
500278045597368320,226
500278294055768064,227
500279160795721728,228
500279189405433858,229
500280422295937024,230
500280838710247424,231
500281094239817728,232
500281131057811456,233
500284699546517505,234
500286058664579072,235
500288349924782080,236
500290456845299714,237
500294803402137600,238
500295393301647360,239
500298752469770240,240
500303431928922113,241
500307001629745152,242
500308076004929537,243
500319675797209088,244
500319801344929795,245
500327106824245249,246
500327120770301952,247
500332933098385408,248
500341884678836224,249
500347114975944705,250
500354773133299713,251
500363126294863876,252
500363740311982081,253
500371149713178625,254
500377145349521411,255
500377906305327104,256
500378223977721856,257
500378522788315137,258
500381163866062848,259
500389488217309184,260
500391222075076610,261
500394061887709184,262
500413818368184321,263
501474962935648256,264
501760566160289794,265
501768276523761666,266
501774251901198336,267
501774615837163521,268
501781217411215360,269
501785003144273921,270
501827465032237056,271
